saad	1208	87
kuhugi	1205	79
ammu	1204	87
tohi	1203	85
nemad	1201	84
vahepeal	1199	84
tehtud	1198	87
oleksin	1197	80
käega	1193	82
hoida	1191	89
pisut	1186	70
käsi	1185	85
sellepärast	1184	81
teid	1183	82
vähe	1179	86
õnneks	1174	86
võtab	1172	87
ajas	1163	83
korral	1157	83
kusagil	1156	77
vanaema	1154	64
vaata	1154	80
teil	1153	83
selge	1152	85
mõelda	1150	85
esimese	1148	85
tavaliselt	1148	87
lisaks	1147	85
teile	1146	85
küllap	1141	68
egle	1137	2
tööle	1137	85
tahad	1134	85
inimese	1134	85
millal	1131	87
millega	1128	87
kõiki	1128	86
läksid	1127	82
vanaisa	1125	57
lapse	1124	74
eemale	1122	82
hinge	1115	82
vaatama	1112	87
a	1112	56
üha	1109	79
loomulikult	1109	76
pähe	1108	86
laua	1106	84
nime	1105	83
pilgu	1101	79
suurt	1099	87
koolis	1096	72
kell	1093	78
riia	1093	20
kadunud	1092	86
poisid	1092	74
tõttu	1092	78
tundub	1091	80
rääkinud	1090	80
mil	1090	77
järgmisel	1087	87
minust	1082	79
viimaks	1072	55
tagant	1070	85
selja	1070	85
aastal	1065	74
korraks	1065	81
magama	1064	85
viimane	1064	87
igatahes	1063	73
jumal	1062	80
läksin	1062	73
näe	1055	86
niisama	1054	83
püüdis	1052	71
kõigest	1048	86
suu	1045	86
nõnda	1044	62
lõi	1043	81
aina	1040	74
kuu	1036	90
minuga	1032	82
ah	1031	81
käia	1029	86
noor	1028	83
suuda	1023	81
tõmbas	1021	78
tundi	1020	82
süüa	1020	83
naeratas	1020	70
ütlesin	1017	77
tõusis	1017	74
tahaks	1014	85
paari	1011	84
elada	1011	85
poeg	1004	70
ühes	1000	86
leidis	997	81
niimoodi	997	74
õigus	994	84
kõigi	993	87
oska	993	87
seepärast	992	67
majas	991	78
arvas	989	78
vähem	986	87
jäid	986	82
hääl	985	82
surnud	983	76
annab	983	88
endast	983	82
sõnad	982	85
pere	981	76
puhul	980	81
miski	979	83
homme	977	81
vend	976	72
mine	974	86
tõstis	970	74
aleksandr	969	6
leidnud	966	84
pikk	966	87
oleksid	965	86
seekord	964	80
kellegi	961	85
käib	959	88
muutus	959	84
naised	953	81
maria	950	34
andnud	949	85
sellel	948	87
tundsin	948	67
tahtsin	943	76
surma	943	77
esimest	941	85
nendega	937	86
sellise	932	81
talu	931	48
hetke	929	81
peas	929	87
sinuga	928	82
peagi	927	82
tuleks	927	81
väljas	927	86
inimeste	922	84
jätta	922	79
saama	921	86
lähen	918	80
paistis	917	79
muutunud	916	85
süda	915	82
seega	914	78
kuulda	913	86
teatas	908	74
tiina	907	22
ühte	907	87
vanemad	907	78
lasta	906	84
ajaks	906	84
võta	903	78
ainus	899	87
rahulikult	898	83
rääkima	897	82
ääres	896	83
hetkeks	896	80
elas	896	79
tegemist	896	83
toas	895	80
uude	895	57
selga	890	86
ehkki	890	47
lapsi	889	83
kahju	889	83
uut	886	86
ootas	885	78
endiselt	885	75
hakkasid	883	85
pannud	883	81
juhtunud	882	83
mõnikord	880	75
õde	878	63
otsekui	876	51
väikese	875	86
tihti	875	79
võin	874	82
jutt	874	75
nõus	872	85
teisel	871	85
alguses	871	76
piisavalt	869	79
koht	868	83
vaatasin	868	63
öösel	867	83
suhtes	867	79
kirja	866	75
ektori	866	4
mõelnud	864	84
võinud	864	84
valu	864	77
korras	863	84
vaba	860	84
tundnud	859	82
saavad	858	83
suurem	855	84
pidin	846	73
tunda	845	84
hetk	841	80
vaadates	839	83
külge	837	85
ühtegi	836	81
asus	836	72
tegid	835	83
tütar	834	72
kellega	831	84
nina	829	84
otsustas	828	78
tõi	825	81
tunnen	824	75
metsa	823	74
paremini	822	84
järsku	822	70
sõnu	821	86
pidevalt	820	76
tänu	818	81
olles	816	85
kostis	816	68
vaatab	813	76
keeles	813	71
küsida	812	81
tegin	812	76
lugeda	812	84
laste	811	79
lasi	810	76
paljud	809	81
vahelt	808	85
mõtleb	806	60
aastaid	803	80
näis	803	68
suured	802	80
mati	801	22
margo	801	2
kerge	800	85
oodata	799	85
meeldis	798	78
silmi	798	84
sõber	796	83
mingil	795	84
leena	794	9
tore	794	77
huvitav	794	83
seisma	792	85
jalad	792	82
mäletan	791	74
tähelepanu	791	81
armastust	791	61
jaan	791	33
käima	790	85
mõista	789	80
mõnda	788	83
last	786	79
teel	786	82
abi	785	81
valge	785	79
öö	784	82
seni	782	83
vett	781	74
klassi	781	59
lausus	781	56
esialgu	780	75
muu	778	86
lähedal	775	83
ütle	774	79
lubas	773	74
neli	772	81
lihtne	771	83
jätkas	770	67
milline	770	77
teen	769	85
veelgi	767	74
akna	767	77
linnas	767	69
naist	766	73
hüüab	765	31
mõtted	763	74
elama	763	85
otsas	762	82
rahu	762	81
mingeid	762	80
oh	761	79
tulema	758	84
jätnud	757	84
huvi	757	80
räägi	756	82
elab	755	84
inimest	755	84
pilk	754	81
milles	754	84
endas	753	68
arvates	753	76
keelt	752	78
haaras	750	70
omavahel	750	88
arvata	748	77
paneb	748	76
käisid	748	79
ükskord	746	77
pikalt	746	84
roman	745	6
juurest	744	81
võid	744	80
jumala	744	67
võtsin	741	71
noored	741	78
regina	739	2
eile	736	79
õhtu	736	81
pidid	735	80
naeris	735	68
pika	732	84
hakkasin	731	69
saame	730	83
kuule	729	78
ohkas	728	59
omaette	728	78
toimub	727	81
mõtlen	726	74
usu	726	77
arvan	726	78
korra	725	83
kohvi	725	72
lähemale	724	77
meelest	724	78
võõras	723	82
roland	723	3
laiali	723	79
laine	723	33
ükskõik	722	78
nähes	721	81
uuris	721	65
pidas	720	81
ruumi	719	79
sugugi	719	68
näen	718	73
armastuse	717	62
las	716	81
küla	716	64
viimase	715	87
lähe	712	81
tulevad	710	84
hoidis	710	77
avas	710	67
mehele	708	78
hakka	708	81
kõigepealt	707	73
selgeks	707	83
kaugel	706	84
viia	706	82
kaasas	706	81
pidada	705	83
sageli	703	70
kuskil	702	60
eestis	702	58
enamasti	701	73
teeme	701	83
ootamatult	700	78
algul	699	70
antud	697	79
kutsus	697	77
noormees	696	71
näeb	696	82
jää	695	85
koha	695	85
minul	695	76
mari	694	30
tunni	692	79
näo	692	80
sammu	691	84
maailm	690	76
püha	689	61
võtma	688	84
sõita	687	79
tõepoolest	687	70
nõukogude	687	48
ühest	687	82
seina	687	81
ütlen	686	76
vanem	686	83
kuud	685	81
uks	685	79
lasknud	685	78
rahvas	684	68
meist	683	81
käisin	683	69
tuua	683	85
tädi	682	53
peame	682	80
peast	682	81
kellele	681	85
milleks	680	82
imelik	679	77
tol	679	75
viga	679	80
mihkel	675	23
viimasel	675	83
keset	673	80
ligi	672	85
kõigile	671	85
paistab	671	72
k	670	44
kõvasti	669	82
kahjuks	668	79
seotud	668	84
võimalus	667	80
tere	667	78
kuulis	666	63
jättis	666	72
üht	666	76
päike	665	75
ellu	665	82
ükski	664	84
tõsi	663	80
rika	662	3
näed	661	81
väsinud	661	82
erna	660	4
aidata	660	77
korralikult	658	78
tüdruku	657	64
kolme	657	78
maal	657	72
räägib	656	82
lott	656	4
aeg-ajalt	655	78
maailmas	655	81
mõtet	654	84
küsimus	652	81
muudkui	651	66
sõbrad	651	79
nimelt	649	72
naerma	648	77
tõsiselt	648	78
ursula	647	5
kellelegi	647	83
kaudu	646	80
muigas	646	53
lisas	645	68
andrese	645	11
mäleta	643	72
poisi	641	65
tallinna	640	63
aeglaselt	639	76
pakkus	639	74
temas	638	69
tunneb	638	74
teadsin	637	71
onu	637	57
kadus	637	75
meeldib	637	80
otsima	637	82
õlgu	636	62
taevas	636	74
juhan	635	21
ootab	634	78
kiire	634	82
kella	634	71
t	634	46
hüüdis	633	63
pandud	633	82
hoolimata	632	74
näoga	631	80
palus	630	73
tühi	630	81
ajada	630	86
kümme	629	77
seetõttu	629	62
teele	627	83
vaevalt	627	76
peavad	626	78
jõuab	625	79
kena	623	73
sellised	622	81
rahul	621	82
sosistas	619	57
kellel	619	84
kaugele	618	85
minus	617	57
küsisin	616	64
märkas	616	72
külm	616	84
mõtteid	615	72
neiu	614	62
temal	614	78
hirm	614	79
tango	614	5
sõda	614	53
endal	613	84
telefoni	613	66
appi	611	76
s	610	54
kergelt	610	74
keeras	610	69
teisele	610	82
aitab	609	80
meeles	608	79
selliseid	608	76
tähtis	607	83
kallis	606	78
külla	604	77
äärde	603	75
rahva	601	64
kivi	601	74
kätt	601	76
lase	600	82
maad	599	81
arvab	599	65
teisi	598	80
marta	597	15
meenus	597	66
järjest	596	81
teisiti	596	79
saksa	596	53
elust	593	83
aknast	593	78
eemal	590	81
õhku	590	81
lausub	589	20
võivad	589	83
osta	588	77
otsis	588	72
ruttu	587	67
u	586	33
tekkis	584	79
pöördus	584	68
proua	583	57
õnnelik	583	80
ajast	583	86
raputas	582	61
tuba	582	76
päriselt	582	72
jooksis	582	75
nalja	582	78
nimel	581	77
jutu	581	80
abikaasa	580	65
raamatu	580	72
lauale	579	78
vaatamata	578	70
vastab	577	49
jalga	576	80
istuma	575	80
lõpuni	575	80
elanud	575	82
näitas	575	75
õnne	572	83
kuulsin	572	69
teevad	571	75
sõitis	571	70
hing	571	76
tarvis	570	68
õue	570	71
suust	569	81
ausalt	569	72
tegu	568	77
häälega	567	76
seljas	567	77
kah	566	59
peremees	565	55
suutis	565	75
emale	564	69
teises	564	85
sooja	563	81
saatis	561	78
üksnes	560	50
täitsa	558	76
jaa	558	65
märganud	558	78
istub	557	71
kööki	557	66
kahekesi	556	69
ootama	554	83
johannes	553	24
mõtlema	553	79
juuksed	551	76
järgmine	551	80
tükk	550	79
luges	549	72
panin	549	68
õieti	548	61
moodi	548	79
tööl	548	74
suvel	547	67
siiani	547	70
vara	547	78
tehti	547	75
kasutada	546	76
tähendas	546	72
esimesel	545	82
kõigil	545	81
pikka	545	83
meeste	544	77
elina	544	2
kurat	544	55
kirjutada	543	72
siiri	543	10
meel	543	82
tütre	542	56
soe	542	80
polegi	542	80
sinust	542	73
voodi	540	69
poja	540	64
külas	540	75
koguni	539	57
nädala	539	80
tüdrukud	537	65
vait	537	75
hello	537	6
tulen	536	72
kaela	536	78
aliide	535	6
ühele	534	78
vesi	534	75
majja	534	73
tulin	533	73
näidata	533	77
ilmus	533	77
süüdi	532	73
nojah	531	61
keele	531	75
loo	530	78
tuttav	529	78
muuta	529	83
veini	529	62
temale	529	73
nendest	527	71
endaga	527	80
kandis	524	77
selgus	524	72
igaüks	523	81
häält	523	75
pilguga	523	75
